median,mean,variance,max,min,year
0.0,0.0,0.0,0.0,-0.0,1743
0.8884189687753083,0.897691323922579,1.8354057683695975,1.0271826572952831,1.6964435732287872,1744
-0.6643570592999191,-0.7324291010659434,1.232390214546419,0.07604369548649333,2.5183422010641277,1745
0.5864303068478361,0.7610158535982297,3.1850829718003406,1.2098399525785417,2.320918510221227,1750
0.7385044542427788,0.7683526100761161,4.454410421811132,1.140994156998899,3.1570988518622234,1751
0.00179969405201096,-0.14867525439770785,0.9550664909609652,0.2574307731391311,2.758611033323999,1752
0.6666066768649331,0.711146063709115,4.170945897581319,1.6269794224743837,3.255390646877625,1753
0.7262665346891031,0.7017323909743894,4.006273295671506,1.5453467694131595,2.5466255950714083,1754
0.6920723477008911,0.6455065406417497,4.669025134699769,1.5206198662037425,2.800896107532904,1755
0.6017277062899309,0.7707635704136416,3.5723401402619643,1.4892878313150986,2.033604032483898,1756
0.5533159362908306,0.734778050643804,4.8367997161717655,1.7842323651452279,2.8773452814337714,1757
0.4662107441734906,0.5683161609516053,4.087814688511152,1.4354306037767803,3.286474376925231,1758
0.6125258706019979,0.7864598016352509,4.0924452067091455,1.5407739859429248,3.0280033604032486,1759
0.6161252587060201,0.6458046582473264,4.131523074636665,1.5138453721737655,4.1856622794735365,1760
0.5061639521281386,0.7246195593981668,4.953745014191008,1.8631552205944615,3.9627555306636797,1761
0.5603347430936741,0.6430737110893608,3.9772964606845576,1.6520450503852993,3.726687202464295,1762
0.4402051651219296,0.5598078798721199,4.1959763726026615,1.6386654246760943,4.195183422010641,1763
0.5425177719787636,0.7062787404202755,3.1009710997662605,1.3760690998391056,2.6076729207504896,1764
0.610006298929182,0.6403785558556113,3.5078854233887617,1.426877805063934,3.586390366844021,1765
0.6589579771438856,0.6628280357654963,4.287431403849718,1.5487340164281482,3.6202744329319523,1766
0.5124628813101774,0.5832926616884132,4.559251705369703,1.5274790414090946,3.9711565387846557,1767
0.5271303878340683,0.5192137874914098,4.851632561140996,1.5035989499534252,4.763651638196583,1768
0.482587960046792,0.6283572520821921,4.577588470417979,1.5262935049538484,5.932511901428171,1769
0.6372716638171512,0.66062171441077,4.135229146189346,1.3896180878990598,4.882665919910388,1770
0.5488167011608027,0.626067898699424,4.8424399712517046,1.6113134050300615,4.224306916830019,1771
0.6643570592999193,0.7564751861649097,4.058575282285581,1.5831992548056564,4.344161299355923,1772
0.6621974264375058,0.7515399488637015,3.9516409205522236,1.440511474299263,3.7877345281433774,1773
0.5966885629442995,0.6210573228647537,5.21134313276473,1.6527224997882968,5.416409969196303,1774
0.6861333573292541,0.7954304069581585,4.468606805310855,1.5429756965026673,4.983478017362082,1775
